data_as_of,start_week,end_week,state,county_name,urbanruralcode,fipsstate,fipscounty,fipscode,indicator,all_deaths_total,covid_19_deaths_total,non_hispanic_white,non_hispanic_black,non_hispanic_american_indian,non_hispanic_asian,non_hispanic_nhopi,hispanic,other,urbanruraldesc,footnote
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Anchorage Municipality,3,2,20,2020,Distribution of all-cause deaths (%),8807,771,0.57,0.046,0.214,0.058,0.031,0.032,0.049,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Anchorage Municipality,3,2,20,2020,Distribution of COVID-19 deaths (%),8807,771,0.453,0.035,0.254,0.112,0.075,0.039,0.032,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Anchorage Municipality,3,2,20,2020,Distribution of population (%),8807,771,0.564,0.052,0.083,0.098,0.031,0.095,0.077,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Fairbanks North Star Borough,4,2,90,2090,Distribution of all-cause deaths (%),2109,205,0.705,0.025,0.177,0.02,,0.026,0.045,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Fairbanks North Star Borough,4,2,90,2090,Distribution of COVID-19 deaths (%),2109,205,0.615,,0.263,,,,0.059,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Fairbanks North Star Borough,4,2,90,2090,Distribution of population (%),2109,205,0.691,0.047,0.077,0.033,0.005,0.081,0.066,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Matanuska-Susitna Borough,3,2,170,2170,Distribution of all-cause deaths (%),2609,241,0.853,0.01,0.078,0.011,,0.019,0.026,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Matanuska-Susitna Borough,3,2,170,2170,Distribution of COVID-19 deaths (%),2609,241,0.826,,0.083,,,0.046,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AK,Matanuska-Susitna Borough,3,2,170,2170,Distribution of population (%),2609,241,0.78,0.012,0.064,0.016,0.004,0.055,0.068,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Autauga County,3,1,1,1001,Distribution of all-cause deaths (%),1800,194,0.817,0.169,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Autauga County,3,1,1,1001,Distribution of COVID-19 deaths (%),1800,194,0.758,0.222,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Autauga County,3,1,1,1001,Distribution of population (%),1800,194,0.732,0.203,0.004,0.011,0.001,0.031,0.018,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Baldwin County,4,1,3,1003,Distribution of all-cause deaths (%),8425,649,0.91,0.073,0.002,0.003,,0.01,0.001,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Baldwin County,4,1,3,1003,Distribution of COVID-19 deaths (%),8425,649,0.883,0.086,,,,0.023,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Baldwin County,4,1,3,1003,Distribution of population (%),8425,649,0.833,0.085,0.007,0.011,0,0.046,0.018,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Blount County,2,1,9,1009,Distribution of all-cause deaths (%),1819,102,0.979,0.009,,,,0.01,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Blount County,2,1,9,1009,Distribution of COVID-19 deaths (%),1819,102,0.931,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Blount County,2,1,9,1009,Distribution of population (%),1819,102,0.868,0.015,0.005,0.004,0,0.095,0.013,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Calhoun County,4,1,15,1015,Distribution of all-cause deaths (%),5865,663,0.821,0.164,,0.003,,0.009,0.002,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Calhoun County,4,1,15,1015,Distribution of COVID-19 deaths (%),5865,663,0.807,0.172,,,,0.017,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Calhoun County,4,1,15,1015,Distribution of population (%),5865,663,0.714,0.212,0.004,0.008,0.001,0.041,0.02,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Coffee County,5,1,31,1031,Distribution of all-cause deaths (%),1835,201,0.791,0.172,,0.011,,0.021,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Coffee County,5,1,31,1031,Distribution of COVID-19 deaths (%),1835,201,0.796,0.154,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Coffee County,5,1,31,1031,Distribution of population (%),1835,201,0.691,0.17,0.011,0.016,0.002,0.083,0.028,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Colbert County,4,1,33,1033,Distribution of all-cause deaths (%),2616,346,0.841,0.146,,,,0.009,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Colbert County,4,1,33,1033,Distribution of COVID-19 deaths (%),2616,346,0.838,0.124,,,,0.035,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
